EffectActivatedWarning,<i><b>Warning! This effect is already active. Repeated usage will override the effect's timer !</b></i>,<i><b>Внимание! Этот эффект уже активен. Повторное использование переопределит таймер эффекта!</b></i>,<i><b>Увага! Цей ефект активний. Повторне використання перевизначить таймер ефекту!</b></i>,,
SecondChanceD,Second chance allows you to 'like' another user once again. It can be used in the 'Encounters' section,Второй шанс позволяет тебееще раз поставить лайк другому пользователю. Его можно использовать в разделе «Встречи».,Другий шанс дозволяє тобі ще раз поставити лайк іншому користувачеві. Його можна використовувати у розділі «Зустрічі».,,
ValentineD,Doubles your Personality points for an hour,Удваивает твои очки  OCEAN+. на час,Подвоює твої бали OCEAN+. на годину,,
DetectorD,"When matched, shows which PERSONALITY parameters were matched. Works for 1 hour","При совпадении показывает, какие параметры  PERSONALITY были сопоставлены. Работает 1 час","Під час збігу показує, які параметри PERSONALITY були зіставлені. Працює 1 годину",,
NullifierD,"Allows you to pass any test one more time, without waiting. It can be activated from the 'Test' section","Позволяет пройти любой тест еще раз, не дожидаясь. Его можно активировать из раздела «Тест».","Дозволяє пройти будь-який тест ще раз, не чекаючи. Його можна активувати з розділу ""Тест"".",,
CardDecMiniD,Instantly adds 20 profile views to your daily views,Мгновенно добавляет 20 просмотров профиля к вашим ежедневным просмотрам.,Миттєво додає 20 переглядів профілю до ваших щоденних переглядів.,,
CardDecPlatinumD,Instantly adds 50 profile views to your daily views,Мгновенно добавляет 50 просмотров профиля к вашим ежедневным просмотрам.,Миттєво додає 50 переглядів профілю до ваших щоденних переглядів.,,
OceanD,"OCEAN+ system is a test-based system, which helps you in finding people or adventures that you need.\n\nEvery OCEAN+ test you pass provides us with better opportunity to give you search result that may suit you the most.\n\n","Система OCEAN+ — это система, основанная на тестах,что помогут тебе находить людей или приключения, которые тебе нужны.\n\nКаждый тест OCEAN+, который ты проходишь, дает тебе больше возможности предоставить тебе результаты поиска, которые могут подойти тебе больше всего.\n\n","Система OCEAN+ — це система, заснована на тестах, що допоможуть тобі знаходити людей або пригоди, які тобі потрібні. n\n",,
SelectOption,"<i><b>Please, select an option</b></i>","<i><b>Пожалуйста, выберите вариант</b></i>","<i><b>Будь ласка, виберіть варіант</b></i>",,
HelpM,<i><b>You can type /help at any time to get more info about functionalities </b></i>,"<i><b>Ты можешь в любой момент ввести /help, чтобы получить дополнительную информацию о функциях </b></i>","<i><b>Ти можеш у будь-який момент ввести /help, щоб отримати додаткову інформацію про функції </b></i>",,
SomethingWrong,"Something went wrong. Please, contact the administration","Что-то пошло не так. Пожалуйста, свяжитесь с администрацией","Щось пішло не так. Будь ласка, зв'яжіться з адміністрацією",,
NoSuchOption,No such option,Нет такой опции,Немає такої опції,,
AutoReplyM,Send a text message (up to 300 characters) or a ⭐Voice message (Up to 15 seconds)⭐ that will be sent to every user who likes your profile\n\nThis is your current auto reply:<i><b>{auto_reply['autoReply']}</b></i>,"Отправь  текстовое сообщение (до 300 символов) или ⭐Голосовое сообщение (до 15 секунд)⭐, которое будет отправлено каждому пользователю, которому понравится твой профиль.\n\nЭто твой текущий автоматический ответ:<i><b> {auto_reply['autoReply']}</b></i>","Надішліть текстове повідомлення (до 300 символів) або ⭐Голосове повідомлення (до 15 секунд)⭐, яке буде надіслано кожному користувачеві, якому сподобається твій профіль.\n\nЦе твоя поточна автоматична відповідь:<i><b> {auto_reply['autoReply ']}</b></i>",,
SetSuccessfully,Set successfully !,Установленно успешно!,Встановлено успішно!,,
BotCommentsD,Personality bot can make its own comments of profiles you encounter in any kind of search. Try it out!,,,,
LimitationM,Up to 15 seconds,До 15 секунд,До 15 секунд,,
PremiumM,"Sorry, only users with premium access can perform that action","К сожалению, это действие могут выполнять только пользователи с премиальным доступом.","На жаль, цю дію можуть виконувати лише користувачі з преміальним доступом.",,
AutoReplylimitations,Up to 300 characters please,"Пожалуйста, до 300 символов","Будь ласка, до 300 символів",,
TypeE,Only text and voice messages are accepted,Принимаются только текстовые и голосовые сообщения,Приймаються лише текстові та голосові повідомлення,,
HintsD,Hints are informative or funny phrases. They are sent when you travel between bot's modules,,,,
SelectFilter,Click on a filter's name to see it's description,"Нажми на название фильтра, чтобы увидеть его описание","Натисніть на назву фільтра, щоб побачити його опис",,
RandomLangD,"When this filter is turned on - all people you'll encounter in /random section are going to speak in a languages you have chosen during registration. If it is turned off - you will be able to encounter absolutely random people, from random places, speaking languages, that can vary from yours.\n","Когда этот фильтр включен - все люди, которых ты встретишь в разделе /random, будут говорить на языках, которые ты выбрал при регистрации. Если его отключить - ты сможешь встретить абсолютно случайных людей, из случайных мест, говорящих на языках, которые могут отличаться от твоего.\n","Коли цей фільтр увімкнений - всі люди, яких ти зустрінеш у розділі /random, будуть говорити мовами, які ви вибрали під час реєстрації. Якщо його відключити - ти зможеш зустріти абсолютно випадкових людей, з випадкових місць, які говорять мовами, які можуть відрізнятися від твого.\n",,
IsFreeD,"This filter allows you to access so called 'free search'. Using it you can find people, who are up for a meeting today ","Этот фильтр позволяет получить доступ к так называемому «свободному поиску». С его помощью ты можешь найти людей, которые сегодня на встрече ","Цей фільтр дозволяє отримати доступ до так званого «вільного пошуку». З його допомогою ти можеш знайти людей, які сьогодні на зустрічі",,
PremiumFilterE,"Sorry, only users with premium can activate that filter","К сожалению, только приложения с премиумом могут активировать этот фильтр","На жаль, лише програми з преміумом можуть активувати цей фільтр",,
AchievementList,Your achievement list,Список достижений,Список досягнень,,
AcquiredAchievementsM,Already acquired achievements are marked with '✅'\nSelect an achievement to view more info,"Уже получены достижения, отмеченные значком '✅'\nВыбери достижение, чтобы посмотреть более подробную информацию","Вже отримано досягнення, позначені значком '✅'\nВибери досягнення, щоб переглянути докладнішу інформацію",,
InventoryM,Here is your effects inventory:,Вот твой инвентарь эффектов:,Ось твій інвентар ефектів:,,
SelectEffect,Select an effect to read it description,"Выбери эффект, чтобы прочитать его описание","Вибери ефект, щоб прочитати його опис",,
AvPoints,Available points:,Доступные баллы:,Доступні бали:,,
ChangesSaved,Changes saved successfully,,,,
Openness,Openness,,,,
Conscientiousness,Conscientiousness,,,,
Extroversion,Extroversion,,,,
Agreeableness,Agreeableness,,,,
Neuroticism,Neuroticism,,,,
Nature,Nature,,,,
SaveB,✨SAVE✨,,,,
PointsTable,Points table:,Таблица очков:,Таблиця очок:,,
AllEncounters,Here are all your recent encounters\nSelect a user to view more options,"Вот все твои недавние встречи\nВыбери пользователя, чтобы просмотреть дополнительные параметры","Ось всі твої нещодавні зустрічі\nВибери користувача, щоб переглянути додаткові параметри",,
NoEncounters,No encounters so far ,Пока никаких встреч,Поки що жодних зустрічей,,
NoEffectE,You dont have that effect,У тебя нет такого эффекта ,У тебе немає такого ефекту,,
DeleteFromBlackListQ,"Are you sure, you want to delete that user from your black list?","Ты уверен/а, что хотите удалить этого пользователя из черного списка?","Ви впевнені, що хочете видалити цього користувача з чорного списку?",,
AddFromBlackListQ,"Are you sure, you want to add that user to your black list?","Ты уверен/а, что хочешь добавить этого пользователя в свой черный список?","Ти впевнений, що хочеш додати цього користувача до свого чорного списку?",,
AddedToBL,User have been successfully added to you black list,Пользователь успешно добавлен в твой черный список,Користувач успішно доданий у твій чорний список,,
UserNotFoundE,User was not recognised. His account had probably been already deleted,"Пользователь не был распознан. Его аккаунт, вероятно, уже был удален ","Користувач не розпізнано. Його обліковий запис, ймовірно, вже був видалений",,
AbortB,Abort,Прервать,Перервати,,
BlackListM,Here are all users you have in your black list\nSelect a user to remove him from the black list,"Здесь перечислены все пользователи, которые есть у тебя в черном списке\nВыбери пользователя, чтобы удалить его из черного списка","Тут перераховані всі користувачі, які є у тебе в чорному списку \ n Вибери користувача, щоб видалити його з чорного списку",,
BlackListEmpty,There are no users in your blacklist,В твоем черном списке нет пользователей ,У твоєму чорному списку немає користувачів,,
RemovedFromBL,User have been successfully removed from you black list,Пользователь успешно удален из твоего черного списка,Користувач успішно видалено з твого чорного списку,,
Online,Online,В сети,В мережі,,
TurnOffM,Would you like to turn it off?,Ты  хочешь выключить его?,Ти хочеш вимкнути його?,,
Offline,Offline,Не в сети,Не в мережі,,
TurnOnM,Would you like to turn it on?,Хочешь включить?,Хочеш увімкнути?,,
OceanStatus,OCEAN+ is currently,{}OCEAN+ в настоящее время {}\n{},{}OCEAN+ в даний час {}\n{},,
StatusQ,"Please, send me your new status (up to 50 characters)","Пожалуйста, пришли свой новый статус (до 50 символов)","Будь ласка, надішли свій новий статус (до 50 символів)",,
StatusLengthE,Incorrect status length,Неверная длина статуса,Невірна довжина статусу,,
ConfirmationTypeQ,Please choose type of identity confirmation,Выбери тип подтверждения личности,Вибери тип підтвердження особистості,,
ConfType1,"sending us a Video or 'Circle' (15 seconds max), in which you are showing those two gestures one after another: {} .\n!Your face has to be visible!\n\n<b><i>Warning! Your profile media has to contain your face</i></b>","отправив нам видео или «круг» (максимум 15 секунд), в котором ты показываешь эти два жеста один за другим: {self.gesture} .\n!Твое лицо должно быть видно!\n\n<b>< я>Внимание! Медиа твоего профиля должно содержать твое лицо</i></b>","відправивши нам відео або «коло» (максимум 15 секунд), в якому ти показуєш ці два жести один за одним: {self.gesture} .\n!Твоя особа має бути видно! ! Медіа твого профілю має містити твою особу</i></b>",,
ConfType2,sending us your passport photo\n\n<b><i>Warning! Your profile media has to contain your face</i></b>,отправив нам фотографии своего паспорта\n\n<b><i>Внимание! Медиа твоего профиля должно содержать твое  лицо</i></b>,надіславши нам фотографії свого паспорта\n\n<b><i>Увага! Медіа твого профілю має містити твою особу</i></b>,,
ConfirmByM,You can confirm your identity by {},Ты можешь подтвердить свою личность {},Ти можеш підтвердити свою особистість {},,
ToLongVideoE,Video is too long,Видео слишком длинное,Відео надто довге,,
RequestAcceptedM,"Done! Please wait until administration resolves your request.\nIf you have any questions, please contact @Admin","Готово! Подождите, пока администрация решит ваш запрос.\nЕсли у тебя есть какие-либо вопросы, свяжитесь с @Admin.","Готово! Зачекайте, доки адміністрація вирішить ваш запит.\nЯкщо у тебе є питання, зв'яжіться з @Admin.",,
InvalidDataTypeE,This type of data cannot be accepted as your identity confirmation,Этот тип данных не может быть принят в качестве подтверждения твоей личности.,Цей тип даних не може бути прийнятий як підтвердження твоєї особи.,,
TheValentine,<i>The Valentine:</i> ,<i>Валентинка:</i>,<i>Валентинка:</i>,,
OceanIsOffE,You have to turn on OCEAN+ to use this effect,"Ты должен/а включить OCEAN+, чтобы использовать этот эффект","Ви повинні включити OCEAN+, щоб використовувати цей ефект",,
TheDetector,<i>The Detector</i>,<i>Детектор</i>,<i>Детектор</i>,,
ActivatedM,Activated!,Активировано!,Активовано!,,
OceanPointsNotInvestedE,You did not spend any OCEAN+ points yet,Ты еще не потратил ни одного очка OCEAN+.,Ти ще не витратив жодного очка OCEAN+,,
PartialConfirmationM,Partial identity confirmation:\n✅ Face confirmation\n⛔ Age confirmation\n⛔ Location confirmation,Частичное подтверждение личности:\n✅ Подтверждение лица\n⛔ Подтверждение возраста\n⛔ Подтверждение местоположения,Часткове підтвердження особи:\n✅ Підтвердження особи\n⛔ Підтвердження віку\n⛔ Підтвердження розташування,,
FullConfirmationM,Full identity confirmation:\n✅ Face confirmation\n✅ Age confirmation\n✅ Location confirmation,Полное подтверждение личности:\n✅ Подтверждение лица\n✅ Подтверждение возраста\n✅ Подтверждение местоположения,Повне підтвердження особи:\n✅ Підтвердження особи\n✅ Підтвердження віку\n✅ Підтвердження розташування,,
NoOceanPointsE,You dont have any OCEAN+ points left,У тебя не осталось очков PERSONALITY,У тебе не залишилося очок PERSONALITY,,
NoTestsPassedE,Pass at least one test related to this parameter first ,"Сначала пройди хотя бы один тест, связанный с этим параметром ","Спочатку пройди хоча б один тест, пов'язаний із цим параметром",,
GoBackHintM,Type 'Go Back' to return to the previous section,"Введи «Вернуться», чтобы вернуться к предыдущему разделу.","Введи «Повернутися», щоб повернутися до попереднього розділу.",,
AchivementDataE,"Unable to load achievement data, please, contact the administration","Не удалось загрузить данные достижений, пожалуйста, свяжись с администрацией","Не вдалося завантажити дані досягнень, будь ласка, зв'яжись з адміністрацією",,
ChooseOption,"<b><i>Please, choose an option from a list below</i></b>","<b><i>Пожалуйста, выбери вариант из списка ниже</i></b>","<b><i>Будь ласка, виберіть варіант зі списку нижче</i></b>",,
BalanceM,💎Coins: {}\n💎Personality Points: {}\n💥Second Chances{}\n💥Valentines: {}\n💥Detectors: {}\n💥Nullifiers: {}\n💥Card Decks Mini: {}\n💥Card Decks Platinum: {},💎Монеты: {}\n💎Очки личности: {}\n💥Второй шанс{}\n💥Валентины: {}\n💥Детекторы: {}\n💥Нульификаторы: {}\n💥Мини-колоды карт: {} \n💥Колоды карт Платина: {},💎Монети: {}\n💎Бали особистості: {}\n💥Другий шанс{}\n💥Валентинки: {}\n💥Детектори: {}\n💥Нуліфікатори: {}\n💥Міні-колоди карт: { } \n💥Колоди карт Платина: {},,
AutoReplyM2,Send me a text message (up to 300 characters) or a ⭐Voice message (Up to 15 seconds)⭐ that will be sent to every user who likes your profile\n\nThis is your current auto reply:<i><b>{}</b></i>,,,,
VerifiedFilterD,"When this filter is turned on, you will encounter only people with a verified profile",,,,
DeleteProfileQ,"Are you sure, you want to delete your profile ?",,,,
ProfileDeletedQ,"We want to improve and make your service suitable and comfortable for everyone.\nPlease, tell us why have you decided to delete your profile",,,,
ProfileDeletedM,"Done! Your profile had been deleted successfully.\nYou may restore all your data during 30 days by hitting /registration in the main menu""",,,,
PremiumRestrictionM,This action is available only for users with premium,,,,
UpdateByM,You can update current request by {},,,,
SecondChance,Second Chance,,,,
Nullifier,Nullifier,,,,
CardDeckMini,Card Deck Mini,,,,
CardDeckPlatinum,Card Deck Platinum,,,,
Valentine,Valentine,,,,
Detector,Detector,,,,
ExpiresAtM,Expires at:,,,,
